,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
5497,Apartment in bld with 5+ units,Hot-Humid,1980-1989,6.642486801367256,Central,None,None,0.0,1.0,0.0,0.0,,0-1,0.0,1,Rented,5.989963420981715,0.0,5.156350495102412,6.115362183764219,6.931169025391152
5498,Detached house,Cold/Very Cold,2000-2009,8.841448244098858,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,4.646791860678911,6.050087166253744,4.859657353582231,6.554431855276919,7.212832671725595
5499,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.701346403039162,Central,None,None,0.0,0.0,1.0,0.0,+4,2.5-3.5,3.0,2,Owned,6.039706942231721,0.0,6.334859197015177,7.430375077230834,7.88912188759248
5500,Mobile home,Cold/Very Cold,1960-1969,7.103322062526113,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,5.426710581316436,5.441074817902994,5.073484889801866,6.132529987386585,6.980466561933719
5501,Detached house,Mixed-Humid,1980-1989,8.221747728346623,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,5.728507607043001,6.70256215049589,4.472210058731861,7.0348459747766725,7.75879043269477
5502,Detached house,Cold/Very Cold,1960-1969,7.818027938530729,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,+4,1.5-2,0.0,1,Owned,4.973279507552487,6.454097328272487,5.189450711560923,6.272593947620845,7.303856684137336
5503,Detached house,Cold/Very Cold,.<1950,8.468423027046809,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,5.178857926510709,7.226223555449433,5.921390734471734,7.49084760938384,8.219864741912652
5504,Apartment in bld with 2-4 units,Hot-Dry/Mixed-Dry,1970-1979,6.7650389767805414,None,None,None,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,0.0,5.170483995038151,5.987506725253638,6.351618432506144
5505,Mobile home,Mixed-Humid,1990-1999,6.947937068614969,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,4.7561730595246186,5.333443168523411,6.450581000548326,7.13703993505311,7.701299678394965
5506,Detached house,Cold/Very Cold,2000-2009,8.37930948405285,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5-3.5,3.0,1,Owned,5.8928037602840115,6.759893118239753,4.937275759741795,6.815047709447627,7.72877663021967
5507,Apartment in bld with 5+ units,Mixed-Humid,1960-1969,6.282266746896006,None,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,4.9934213133615675,5.692586701895467,7.411556287811163,7.648310716937074
5508,Detached house,Cold/Very Cold,1970-1979,8.11701408773731,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,4,1.5-2,1.0,Split-level,Owned,4.8794630213208565,6.359002771371298,5.047481395216918,6.588953987471486,7.370784644490536
5509,Attached house,Cold/Very Cold,2000-2009,7.498315870766981,None,D: 10-14 yrs,Central water system,0.0,0.0,0.0,0.0,3,2.5-3.5,0.0,1,Owned,0.0,6.342121418721152,5.547791213108276,7.177683174629695,7.665069036516998
