,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,THERMOSTAT,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,HEAT_COST,WATERHEAT_COST,HOTTUB,SWIMPOOL,BATHROOMS,ELECT_COST,TOT_COST
61,Apartment in bld with 5+ units,Hot-Humid,2000-2009,822.0,Central,A: -2 yrs,Central heat pump,0.0,,,,1.0,,NA,Rented,247.56,2.25,142.04,0,,1.5-2,1088.91,1480.7600000000002
62,Attached house,Cold/Very Cold,.<1950,2142.0,Individual,D: 10-14 yrs,Central water system,1.0,0.0,1.0,3,1.0,,2,Rented,41.04,679.21,87.56,0,0.0,0-1,504.97999999999996,1312.79
63,Detached house,Cold/Very Cold,1960-1969,1806.0,Individual,B: 2-4 yrs,Other individual,1.0,0.0,0.0,0-2,,,2,Owned,129.39,0.0,770.92,0,0.0,0-1,1307.6100000000001,2207.92
64,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,745.0,None,F: +20 yrs,Other individual,0.0,,,0-2,0.0,,NA,Rented,0.0,148.88,76.0,0,,0-1,528.26,753.14
65,Detached house,Cold/Very Cold,.<1950,4968.0,Central,F: +20 yrs,Central furnace,0.0,1.0,1.0,4,0.0,,2,Owned,37.77,679.13,85.95,0,0.0,1.5-2,238.4,1041.25
66,Detached house,Cold/Very Cold,1950-1959,2438.0,Both central and individual,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,3,0.0,1.0,1,Owned,88.36,295.97,225.95,0,1.0,1.5-2,917.61,1527.8899999999999
67,Detached house,Cold/Very Cold,.<1950,3750.0,Central,F: +20 yrs,Central furnace,0.0,1.0,1.0,3,0.0,,2,Owned,380.61,1428.01,361.41,0,0.0,1.5-2,1188.12,3358.1499999999996
68,Detached house,Cold/Very Cold,1950-1959,1175.0,Individual,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,,1.0,1,Owned,33.3,717.61,169.58,0,0.0,1.5-2,1100.67,2021.16
69,Attached house,Mixed-Humid,1970-1979,1382.0,Central,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0-2,0.0,,2,Rented,147.26,127.58,231.25,0,0.0,1.5-2,945.8399999999999,1451.9299999999998
70,Attached house,Cold/Very Cold,2000-2009,4876.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,2,Owned,182.9,721.68,411.92,0,0.0,1.5-2,974.2199999999999,2290.72
71,Apartment in bld with 2-4 units,Hot-Dry/Mixed-Dry,1980-1989,830.0,Central,F: +20 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,74.53,54.34,114.44,0,,0-1,280.65,523.96
